year,0,1,2,3,4,5,6,7
2024,Newfoundland and Labrador,High Wage,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0","9213-Supervisors, food, beverage and associated products processing",Unknown,1,1
2024,Nova Scotia,High Wage,3328040 Nova Scotia Limited,"Beaver Bank, NS B4E 3A5","0124-Advertising, marketing and public relations managers",Unknown,1,1
2024,Nova Scotia,High Wage,Dragon Ebikes Ltd.,"Halifax, NS B3K 3B4",1223-Human resources and recruitment officers,Unknown,1,1
2024,Nova Scotia,High Wage,MARUTI BRIDGEWATER NS INC,"BRIDGEWATER, NS B4V 3A2",4163-Business development officers and marketing researchers and consultants,Unknown,1,1
2024,Nova Scotia,Low Wage,3287893 Nova Scotia Limited,"HALIFAX, NS B3J 0J1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
2024,Nova Scotia,Low Wage,3326467 Nova Scotia ltd,"Halifax, NS B3S 0B9",2225-Landscape and horticulture technicians and specialists,Unknown,1,1
2024,Nova Scotia,Low Wage,A Bite of Asia Inc.,"Sydney, NS B1P 5Z1",6322-Cooks,Unknown,1,1
2024,Nova Scotia,Low Wage,INNER STRENGTH TAE KWON DO INC,"2 WELLINGTON, NS B2T 1B7",4413-Elementary and secondary school teacher assistants,Unknown,1,1
2024,Nova Scotia,Low Wage,Keel Brands Limited,"Dartmouth, NS B3B 0M4",0631-Restaurant and food service managers,Unknown,1,2
2024,Nova Scotia,Low Wage,Melody Dunns cleaning,"Halifax, NS B3M 0P3",6731-Light duty cleaners,Unknown,1,1
2024,Nova Scotia,Low Wage,Poirier Fish Limited,"Cheticamp, NS B0E 1H0",9618-Labourers in fish and seafood processing,Unknown,1,6
2024,New Brunswick,High Wage,735223 NB Corp,"moncton, NB E1G 6H5",1241-Administrative assistants,Unknown,1,1
2024,New Brunswick,High Wage,DWARKA CIVIL CONSTRUCTION MANAGEMENT LIMITED,"SAINT JOHN, NB E2J 1C7",2264-Construction inspectors,Unknown,1,1
2024,New Brunswick,Primary Agriculture,Yuvi Farm Inc,"Cap-Pelé, NB E4N 2C5",8431-General farm workers,Unknown,1,3
2024,Quebec,Global Talent Stream,Triton Digital Canada Inc.,"Montreal, QC H3G 1R8",2174-Computer programmers and interactive media developers,Corporation,1,1
2024,Quebec,High Wage,ITI PLACEMENT DE RESSOURCES INC,"Québec, QC G2E 5G5",2281-Computer network technicians,Corporation,1,1
2024,Quebec,High Wage,SELEKKTUS Solutions d'embauche inc.,"Montreal, QC H3C 1L9",1523-Production logistics co-ordinators,Unknown,1,1
2024,Quebec,Low Wage,13813312 CANADA INC.,"montreal, QC H2P 2H3",1223-Human resources and recruitment officers,Unknown,1,1
2024,Quebec,Low Wage,9200-4050 quebec inc,"Boisbriand, QC J7G 2A8","3413-Nurse aides, orderlies and patient service associates",Corporation,3,3
2024,Quebec,Low Wage,9388-7347 Québec Inc.,"Shawinigan, QC G9P 1N6",6322-Cooks,Unknown,1,1
2024,Quebec,Low Wage,9410-4924 Québec inc.,"Montréal, QC H1N  1C",7514-Delivery and courier service drivers,Corporation,1,1
2024,Quebec,Low Wage,Eco Intermodal inc.,"SAINTE MARTINE, QC J0S 1V0",7511-Transport truck drivers,Unknown,1,1
2024,Quebec,Low Wage,Energy Door Company,"L'ASSOMPTION, QC, QC J5W 4P5",7313-Refrigeration and air conditioning mechanics,Unknown,1,4
2024,Quebec,Low Wage,Fourgons Leclair inc,"Terrebonne, QC J6Y 0J8","9522-Motor vehicle assemblers, inspectors and testers",Unknown,1,4
2024,Quebec,Low Wage,Groupe Montech Inc.,"Montreal, QC H1P 1A2","9235-Pulping, papermaking and coating control operators",Unknown,1,1
2024,Quebec,Low Wage,MEJ service plus,"Longueuil, QC J4K 4K2",6322-Cooks,Unknown,1,3
2024,Quebec,Low Wage,MFBB INC.,"Montreal, QC H2K 3T1","7303-Supervisors, printing and related occupations",Unknown,1,1
2024,Quebec,Low Wage,SOINS ET CONFORT INC,"Montréal, QC H8Y  2M","3413-Nurse aides, orderlies and patient service associates",Corporation,2,3
2024,Quebec,Low Wage,Sushi Samiyo Inc,"VAL-D'OR, QC J9P 1T2",6321-Chefs,Unknown,1,1
2024,Quebec,Primary Agriculture,L'arche de Megan et Francois inc.,"Richelieu, QC J3L 6N8",8431-General farm workers,Unknown,1,1
2024,Ontario,Global Talent Stream,Akhny Solutions Inc.,"Milton, ON L9T 8P6",2174-Computer programmers and interactive media developers,Unknown,1,2
2024,Ontario,Global Talent Stream,DSR CANADA CORP.,"Toronto, ON M5H  1J",0213-Computer and information systems managers,Corporation,1,1
2024,Ontario,High Wage,1000240301 Ontario Inc,"Brampton, ON L6R 3J6",6322-Cooks,Unknown,1,1
2024,Ontario,High Wage,1000352629 ONTARIO INC,"Port Elgin, ON N0H 2C3","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1,1
2024,Ontario,High Wage,1000352629 ONTARIO INC,"Port Elgin, ON N0H 2C3",1221-Administrative officers,Unknown,2,2
2024,Ontario,High Wage,1000352629 ONTARIO INC,"Port Elgin, ON N0H 2C3",4163-Business development officers and marketing researchers and consultants,Unknown,1,1
2024,Ontario,High Wage,1000639770 ONTARIO INC.,"OTTAWA, ON K1N 8S7","0013-Senior managers - financial, communications and other business services",Unknown,1,1
2024,Ontario,High Wage,10049859 Canada Ltd,"Scarborough, ON M1S 4E4",0601-Corporate sales managers,Unknown,1,1
2024,Ontario,High Wage,10078590 Canada Inc.,"TORONTO, ON M4H 1C3","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,Ontario,High Wage,10755389 Canada Inc.,"MISSISSAUGA, ON L5T 1B6",7511-Transport truck drivers,Unknown,1,2
2024,Ontario,High Wage,10949795 Canada Ltd,"Etobicoke, ON M9W 0A2",1221-Administrative officers,Unknown,1,1
2024,Ontario,High Wage,11020633 Canada Inc.,"Mississauga, ON L5H 3A1",0731-Managers in transportation,Unknown,1,1
2024,Ontario,High Wage,11382179 Canada INC.,"BARRIE, ON L9J 0J8",1221-Administrative officers,Unknown,1,1
2024,Ontario,High Wage,11609092 canada inc,"brampton, ON L6V 1C2",1241-Administrative assistants,Unknown,1,1
2024,Ontario,High Wage,12016699 Canada Inc.,"Grimsby, ON L3M 4M8",1241-Administrative assistants,Unknown,1,1
2024,Ontario,High Wage,12282305 Canda Inc.,"MISSISSAUGA, ON L5E 2X9","5131-Producers, directors, choreographers and related occupations",Unknown,1,1
2024,Ontario,High Wage,12624320 Canada Inc.,"North York, ON M3N 1V7",0311-Managers in health care,Unknown,1,1
2024,Ontario,High Wage,12624320 Canada Inc.,"North York, ON M3N 1V7",1221-Administrative officers,Unknown,3,5
2024,Ontario,High Wage,12624320 Canada Inc.,"North York, ON M3N 1V7",1223-Human resources and recruitment officers,Unknown,1,1
2024,Ontario,High Wage,12624320 Canada Inc.,"North York, ON M3N 1V7",1411-General office support workers,Unknown,1,1
2024,Ontario,High Wage,12793792 CANADA INC.,"MISSISSAUGA, ON L5T 1Y1",7245-Telecommunications line and cable workers,Unknown,1,2
2024,Ontario,High Wage,13054748 Canada Inc,"Mississauga, ON L4T 0A7",1221-Administrative officers,Unknown,1,1
2024,Ontario,High Wage,13054748 Canada Inc,"Mississauga, ON L4T 0A7",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,Ontario,High Wage,14142331 Canada Inc.,"Niagra Falls, ON L2H 1H3",1241-Administrative assistants,Unknown,1,1
2024,Ontario,High Wage,14303369 Canada Inc,"Mississauga, ON L5N 5V3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
2024,Ontario,High Wage,14407121 Canada Inc,"Toronto, ON M1H 3C3",1241-Administrative assistants,Unknown,1,1
2024,Ontario,High Wage,14928491 Canada Inc.,"EAST TORONTO, ON M5A 1S9",6211-Retail sales supervisors,Unknown,2,4
2024,Ontario,High Wage,15057493 canada  Inc.,"Oakville, ON L6M 2Y3",1311-Accounting technicians and bookkeepers,Unknown,1,1
2024,Ontario,High Wage,1795996 Ontario Inc,"Scarborough, ON M1S 3R6","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
2024,Ontario,High Wage,1843130 Ontario Inc.,"PICKERING, ON L1W 3X4","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
2024,Ontario,High Wage,1847729 Ontario Inc.,"St. Catharines, ON L2W 1A3","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1,1
2024,Ontario,High Wage,1973986 Ontario Inc.,"MISSISSAUGA, ON L5R 2Z1","7334-Motorcycle, all-terrain vehicle and other related mechanics",Unknown,1,1
2024,Ontario,High Wage,2 8 4 0 9 0 9  O N T A R I O  I N C .,"Brampton, ON L6W 3M2","3413-Nurse aides, orderlies and patient service associates",Unknown,1,10
2024,Ontario,High Wage,2111160 ONTARIO INC.,"CALEDON, ON L7C 4G5",1241-Administrative assistants,Unknown,1,1
2024,Ontario,High Wage,2145462 Ontario Inc.,"Toronto, ON L6P 0X4","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
2024,Ontario,High Wage,2212904 Ontario Inc.,"Georgetown, ON L7G 4S7","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
